✅ or ❌,page,initials,date
,urn:cite2:hmt:msA.v1:214v,,
,urn:cite2:hmt:msA.v1:215r,,
,urn:cite2:hmt:msA.v1:215v,,
,urn:cite2:hmt:msA.v1:216r,,
,urn:cite2:hmt:msA.v1:216v,,
,urn:cite2:hmt:msA.v1:217r,,
,urn:cite2:hmt:msA.v1:217v,,
,urn:cite2:hmt:msA.v1:218r,,
,urn:cite2:hmt:msA.v1:218v,,
,urn:cite2:hmt:msA.v1:219r,,
,urn:cite2:hmt:msA.v1:219v,,
,urn:cite2:hmt:msA.v1:220r,,
,urn:cite2:hmt:msA.v1:220v,,
,urn:cite2:hmt:msA.v1:221r,,
,urn:cite2:hmt:msA.v1:221v,,
,urn:cite2:hmt:msA.v1:222r,,
,urn:cite2:hmt:msA.v1:222v,,
,urn:cite2:hmt:msA.v1:223r,,
,urn:cite2:hmt:msA.v1:223v,,
,urn:cite2:hmt:msA.v1:224r,,
,urn:cite2:hmt:msA.v1:224v,,
,urn:cite2:hmt:msA.v1:225r,,
,urn:cite2:hmt:msA.v1:225v,,
,urn:cite2:hmt:msA.v1:226r,,
,urn:cite2:hmt:msA.v1:226v,,
,urn:cite2:hmt:msA.v1:227r,,
,urn:cite2:hmt:msA.v1:227v,,
,urn:cite2:hmt:msA.v1:228r,,
,urn:cite2:hmt:msA.v1:228v,,
,urn:cite2:hmt:msA.v1:229r,,
,urn:cite2:hmt:msA.v1:229v,,
,urn:cite2:hmt:msA.v1:230r,,
,urn:cite2:hmt:msA.v1:230v,,
,urn:cite2:hmt:msA.v1:231r,,
,urn:cite2:hmt:msA.v1:231v,,
,urn:cite2:hmt:msA.v1:232r,,
,urn:cite2:hmt:msA.v1:232v,,
,urn:cite2:hmt:msA.v1:233r,,
,urn:cite2:hmt:msA.v1:233v,,
,urn:cite2:hmt:msA.v1:234r,,
,urn:cite2:hmt:msA.v1:234v,,
,urn:cite2:hmt:msA.v1:235r,,
,urn:cite2:hmt:msA.v1:235v,,
,urn:cite2:hmt:msA.v1:236r,,
,urn:cite2:hmt:msA.v1:236v,,
,urn:cite2:hmt:msA.v1:237r,,
,urn:cite2:hmt:msA.v1:237v,,
,urn:cite2:hmt:msA.v1:238r,,
,urn:cite2:hmt:msA.v1:238v,,
,urn:cite2:hmt:msA.v1:239r,,
